price,drivetrain,model,year,province,front_legroom(mm),battery_charge_time(hr),battery_range(km),mileage(km)
48148,All-Wheel Drive,Model Y,2021.0,BC,1062.0,10.0,509.0,48600
27050,All-Wheel Drive,Model 3,2018.0,ON,1085.0,10.0,499.0,111975
65775,All-Wheel Drive,Model Y,2024.0,QC,1062.0,9.8,449.0,16051
32512,Rear-Wheel Drive,Model 3,2021.0,BC,1085.0,10.0,430.0,71862
37888,Rear-Wheel Drive,Model 3,2023.0,BC,1085.0,10.4,438.0,49518
34510,Rear-Wheel Drive,Model 3,2023.0,ON,1085.0,10.4,438.0,48102
52995,All-Wheel Drive,Model 3,2022.0,AB,1085.0,10.0,507.0,25926
41995,All-Wheel Drive,Model 3,2022.0,BC,1085.0,10.0,538.0,73000
51995,All-Wheel Drive,Model Y,2023.0,ON,1062.0,11.8,488.0,64472
34800,All-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,568.0,75866
44995,All-Wheel Drive,Model Y,2021.0,BC,1062.0,10.0,509.0,70080
48998,All-Wheel Drive,Model Y,2022.0,QC,1062.0,10.0,488.0,58799
28888,All-Wheel Drive,Model 3,2018.0,ON,1085.0,10.0,499.0,68029
30500,Rear-Wheel Drive,Model 3,2019.0,BC,1085.0,10.0,354.0,67490
41495,All-Wheel Drive,Model X,2017.0,BC,1046.0,12.0,383.0,88148
39999,All-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,538.0,41126
33996,Rear-Wheel Drive,Model 3,2020.0,BC,1085.0,10.0,402.0,45057
24880,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,84900
29985,Rear-Wheel Drive,Model 3,2020.0,QC,1085.0,10.0,402.0,41233
22880,All-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,499.0,164000
29450,All-Wheel Drive,Model 3,2018.0,ON,1085.0,10.0,499.0,71685
35995,Rear-Wheel Drive,Model 3,2022.0,ON,1085.0,10.0,430.0,16959
23990,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,99400
20989,All-Wheel Drive,Model 3,2018.0,ON,1085.0,10.0,499.0,203750
45995,All-Wheel Drive,Model Y,2021.0,BC,1062.0,10.0,509.0,68000
27888,Rear-Wheel Drive,Model 3,2018.0,BC,1085.0,12.0,499.0,148000
34888,Rear-Wheel Drive,Model 3,2021.0,BC,1085.0,10.0,430.0,47000
29888,All-Wheel Drive,Model 3,2019.0,QC,1085.0,10.0,499.0,66150
38495,All-Wheel Drive,Model S,2016.0,ON,1085.0,12.0,473.0,91500
23800,Rear-Wheel Drive,Model 3,2018.0,ON,1085.0,12.0,354.0,110406
29998,Rear-Wheel Drive,Model 3,2020.0,QC,1085.0,10.0,402.0,33997
25490,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,75400
30995,Rear-Wheel Drive,Model 3,2021.0,QC,1085.0,10.0,430.0,41197
48289,All-Wheel Drive,Model Y,2022.0,QC,1062.0,10.0,531.0,53000
64977,All-Wheel Drive,Model X,2021.0,QC,1046.0,12.0,565.0,98934
23800,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,102900
24995,Rear-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,402.0,115100
