title,price,location,Mileage,Drivetrain,Exterior color,Interior color,Fuel Consumption,Fuel type,Battery charge time,Battery range,Make:,Model:,Year:,Trim:,Body type:,Exterior colour:,Interior colour:,Mileage:,Condition:,VIN:,Stock number:,Combined gas mileage:,City gas mileage:,Highway gas mileage:,Fuel type:,Battery capacity:,Battery charge time (240V):,Battery range:,Transmission:,Drivetrain:,NHTSA overall safety rating:,NHTSA frontal crash rating:,NHTSA side crash rating:,NHTSA rollover rating:,Doors:,Front legroom:,Back legroom:,Cargo volume:,Transmission,Dealer:,Backup camera,Battery charge time (120V):,Cabin size:,Bed length:,Safety rating,Alloy wheels,Bluetooth
2022 Tesla Model 3 RWD,"$35,978","Shawinigan, QC","57,123",Rear-Wheel Drive,Black,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2022.0,RWD,Sedan,Black,,"57,123 km",Used,5YJ3E1EA7NF206477,Z6477M-v,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,60 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,Automatic,,,,,,,,
2021 Tesla Model 3 Standard Range Plus RWD,"$38,999","Edmonton, AB","44,755",Rear-Wheel Drive,,,,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,,,"44,755 km",Used,5YJ3E1EAXMF907710,PT8078,,,,Electric,50 kWh,10 hr,430 km,1-Speed Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,1-Speed Automatic,,,,,,,,
2021 Tesla Model Y Performance AWD,"$51,396","Wetaskiwin, AB","95,628",All-Wheel Drive,Red,White,2.09 L/100km,Electric,10 hr,507 km,Tesla,Model Y,2021.0,Performance AWD,SUV / Crossover,Red,White,"95,628 km",Used,5YJYGDEF1MF121629,BT1679,2.1 L/100km,2 L/100km,2.2 L/100km,Electric,75 kWh,10 hr,507 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,,,,,,,,,
2019 Tesla Model X,"$69,999","Toronto, ON","98,000",All-Wheel Drive,White,Black,,,,,Tesla,Model X,2019.0,Long Range AWD,SUV / Crossover,White,Black,"98,000 km",Used,5YJXCDE22KF205055,WHITE-205055,,,,,,,,Automatic,All-Wheel Drive,,,,,4 doors,,,,Automatic,,,,,,,,
2023 Tesla Model Y RWD,"$47,995","North Vancouver, BC","32,450",Rear-Wheel Drive,White,Black,,Electric,9.4 hr,418 km,Tesla,Model Y,2023.0,RWD,SUV / Crossover,White,Black,"32,450 km",Used,LRWYGDFD5PC967855,967855,,,,Electric,67.6 kWh,9.4 hr,418 km,1-Speed Automatic,Rear-Wheel Drive,,,,,4 doors,1064 mm,1029 mm,971 L,1-Speed Automatic,,,,,,,,
2021 Tesla Model 3 Standard Range Plus RWD,"$34,999","Kentville, NS","95,000",Rear-Wheel Drive,White,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,White,,"95,000 km",Used,5YJ3E1EA5MF840935,23077A,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2022 Tesla Model Y Performance AWD,"$57,996","Truro, NS","24,654",All-Wheel Drive,,,2.09 L/100km,Electric,10 hr,488 km,Tesla,Model Y,2022.0,Performance AWD,SUV / Crossover,,,"24,654 km",Used,7SAYGDEF2NF392526,U2526,2.1 L/100km,2 L/100km,2.2 L/100km,Electric,75 kWh,10 hr,488 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,971 L,Automatic,,,,,,,,
2022 Tesla Model Y Long Range AWD,"$47,990","Oakville, ON","76,034",All-Wheel Drive,Black,Black,1.945 L/100km,Electric,10 hr,531 km,Tesla,Model Y,2022.0,Long Range AWD,SUV / Crossover,Black,Black,"76,034 km",Used,7SAYGAEE3NF508323,508323,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,531 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,971 L,,,,,,,,,
2020 Tesla Model X Long Range Plus AWD,"$71,800","Richmond, BC","65,000",All-Wheel Drive,Gray,Brown (Tan),2.245 L/100km,Electric,12 hr,565 km,Tesla,Model X,2020.0,Long Range Plus AWD,SUV / Crossover,Gray,Brown (Tan),"65,000 km",Used,C209213,2.2 L/100km,2.2 L/100km,2.3 L/100km,Electric,100 kWh,12 hr,565 km,Automatic,All-Wheel Drive,4 doors,,,,,1046 mm,975 mm,543 L,,,,,,,,,,
2022 Tesla Model 3 RWD,"$39,918","Calgary, AB","35,314",Rear-Wheel Drive,White,Black,,Electric,10 hr,430 km,Tesla,Model 3,2022.0,RWD,Sedan,White,Black,"35,314 km",Used,5YJ3E1EA3NF164728,64728U,,,,Electric,60 kWh,10 hr,430 km,1-Speed Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,1-Speed Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$31,995","Hilden, NS","92,000",Rear-Wheel Drive,Black,,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,Black,,"92,000 km",Used,5YJ3E1EA5LF802233,p111,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
